conversation_id_str,created_at,favorite_count,full_text,id_str,image_url,in_reply_to_screen_name,lang,location,quote_count,reply_count,retweet_count,tweet_url,user_id_str,username;;;;;
1884825737955582312,Thu Jan 30 20:29:23 +0000 2025,0,@OscarDarmawan Apa hebatnya? tiru dong Konoha ada program MBG: 1. Makanan Beracun Gratis 2. Makan Belalang Gratis 3. Makanan Basi Gratis lima tahun lagi akan lahir generasi tangguh sprti Hulk dan Spiderman. https://t.co/CxPHpbn0Qu,1885062778454725105,,OscarDarmawan,in,,0,0,0,https://x.com/undefined/status/1885062778454725105,1488839355351597057,;;;;;
1884907967017075182,Thu Jan 30 20:25:53 +0000 2025,0,@Twillight_Loid Kemaren baru aja yang ngomong di base PNS pengurangan anggaran gede2an di K/L buat program MBG ini.,1885061894790406345,,Twillight_Loid,in,,0,0,0,https://x.com/undefined/status/1885061894790406345,1739326843340386304,;;;;;
1884953522241728645,Thu Jan 30 20:06:31 +0000 2025,0,@terjaehyunism @FOODFESS2 Tinggal susu + buah cocok buat MBG @prabowo @gibran_tweet,1885057021915127978,,terjaehyunism,in,,0,0,0,https://x.com/undefined/status/1885057021915127978,1025478995150655489,;;;;;
1884953522241728645,Thu Jan 30 20:05:34 +0000 2025,0,@kangsolci @FOODFESS2 mending ini sih ada keliatan gizinya ketimbang MBG @prabowo @gibran_tweet,1885056785465434599,,kangsolci,in,,0,0,0,https://x.com/undefined/status/1885056785465434599,1025478995150655489,;;;;;
1884788735239221608,Thu Jan 30 19:44:34 +0000 2025,3,@tanyarlfes Lah iya ya.. skala prioritasnya kebalik ngga sih? Prioritas utama kesehatan dan pendidikan yang didukung dengan adanya mbg ketahanan pangan energi dll Gimana mbg mau jalan kalau ngga ada pendidikan kan?,1885051498134200593,,tanyarlfes,in,,0,0,0,https://x.com/undefined/status/1885051498134200593,1493931547673575430,;;;;;
1885047831859179739,Thu Jan 30 19:30:00 +0000 2025,0,PLN sebagai BUMN terus mendukung penuh program Makan Bergizi Gratis (MBG) dari Pemerintah ini dengan memastikan pasokan listrik andal di 238 titik Satuan Pelayanan Pemenuhan Gizi (SPPG) di 31 provinsi. #AstaCitaPemerintah #MakanBergiziGratis #AnakGenerasiEmas #PLNDukungMBG https://t.co/AGSbwbsFmG,1885047831859179739,https://pbs.twimg.com/media/GikAWGlaAAABNCC.jpg,,in,,0,0,0,https://x.com/undefined/status/1885047831859179739,1764821449540517888,;;;;;
1884846538163130608,Thu Jan 30 19:24:20 +0000 2025,0,@BaseAnakFK MBG boleh dimulai pelan2 secara perlahan cth dimulai dari SD ya walaupun pasti nanti ada kecemburuan sosial tapi ya mau bagimana lagi jalanin aja kayak Sekolah Gratis/Program Wajib belajar (6th 9th 12th),1885046405162819976,,Paupou3H,in,,0,0,0,https://x.com/undefined/status/1885046405162819976,817071973406605312,;;;;;
1884858533885382769,Thu Jan 30 19:23:33 +0000 2025,435,@kompascom 171 T buat sekolah gratis renovasi gedung &amp; fasilitas sekolah di seluruh Indonesia terutama daerah2 pelosok masih lebih berasa manfaatnya drpada MBG. Kenyang sesaat ga bikin anak2 jadi lebih pinter..,1885046210928796027,,kompascom,in,,4,3,71,https://x.com/undefined/status/1885046210928796027,848789813952040960,;;;;
1885045426572931188,Thu Jan 30 19:20:26 +0000 2025,0,Program MBG Makan Bergizi Gudang garam,1885045426572931188,,,in,,0,0,0,https://x.com/undefined/status/1885045426572931188,1605715776,;;;;;
1884846538163130608,Thu Jan 30 19:17:24 +0000 2025,0,@MindSpeakLouder @BaseAnakFK Betul bgt banyak yg harus diperbaiki dan dievaluasi dari MBG khususnya saat ini rakyat butuh kebijakan yang bisa menjangkau semua rakyat,1885044661263257917,,,in,,0,1,0,https://x.com/undefined/status/1885044661263257917,1246126017015578626,;;;;;
1884615784904937587,Thu Jan 30 19:16:41 +0000 2025,0,@hunmanity wkwkw iyalagi kepikiran ada yg interupsi ga ya seharusnya MBG itu program pendukung supanya kesehatan nya baik dan pendidikan nya maju. ini bisa-bisanya kesehatan dan pendidikan jd prioritas pendukung pdhl mbg itu instrumen agar terciptanya kesehatan dan pendidikan yg baik,1885044483651448993,,hunmanity,in,,0,1,0,https://x.com/undefined/status/1885044483651448993,1348876141721866240,;;;;;
1884953522241728645,Thu Jan 30 19:07:47 +0000 2025,0,@r4rwW1 @kangsolci @FOODFESS2 kemewahan ga si MBG dpt ayam satu potong kek gt wkwkwk,1885042243574333893,,remajalabel,in,,0,1,0,https://x.com/undefined/status/1885042243574333893,1408079653252648965,;;;;;
1885038469522887144,Thu Jan 30 18:52:48 +0000 2025,0,Jelas MBG lebih penting dibanding sektor pendidikan dan kesehatan kalau MBG nya dibatalkan yg ada kepercayaan masyarakat terhadap pemerintah skrg akan turun. Citra itu harus mereka jaga bagaimanapun cara meski mengorbankan 2 hal penting.,1885038469522887144,,,in,,0,0,0,https://x.com/undefined/status/1885038469522887144,1319495558004760580,;;;;;
1884846538163130608,Thu Jan 30 18:27:28 +0000 2025,0,@bettermezszv @fiantora90 @BaseAnakFK lebih enaknya MBG di switch sama pendidikan emg spt mimpi siang bolong buat MBG teh.,1885032095686549683,,bettermezszv,in,,0,0,0,https://x.com/undefined/status/1885032095686549683,875448128786227200,;;;;;
1885009481232506885,Thu Jan 30 16:57:36 +0000 2025,0,idiot bgt MBG prioritas utama,1885009481232506885,,,in,,0,0,0,https://x.com/undefined/status/1885009481232506885,1795446241263841281,;;;;;
